"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc085c",282,"bandits7030","bandit70","bandit30",3,2,1,1.6503,"bandit70","bandit30",1,0.51364,0,0,0.70833,0.82083,0.70833,0.82083,-0.1125,0,-1,94
"voc085c",283,"bandits7030","bandit70","bandit30",1,2,1,0.74472,"bandit30","bandit70",2,0.54786,0,0,0.69388,0.61361,0.69388,0.61361,0.080272,1,1,95
"voc085c",284,"bandits9010","bandit10","bandit90",4,2,1,0.60916,"bandit90","bandit10",2,0.62421,1,10,0.89855,0.88928,0.89855,0.88928,0.0092754,1,1,95
"voc085c",285,"bandits5050","bandit50b","bandit50a",0,2,1,0.69938,"bandit50a","bandit50b",2,0.59207,0,0,0.5,0.5,0.5,0.5,0,,0,95
"voc085c",286,"bandits7030","bandit30","bandit70",6,2,1,0.4063,"bandit70","bandit30",2,0.57701,1,10,0.69388,1.11,0.69388,1.11,-0.4161,0,-1,96
"voc085c",287,"bandits5050","bandit50b","bandit50a",6,2,1,0.39744,"bandit50a","bandit50b",2,0.52235,1,10,0.5,1.0939,0.5,1.0939,-0.5939,0,-1,96
"voc085c",288,"bandits9010","bandit10","bandit90",1,2,1,0.50482,"bandit90","bandit10",2,0.57545,1,10,0.9,0.59,0.9,0.59,0.31,1,1,96
"voc085c",289,"bandits7030","bandit30","bandit70",2,2,1,0.74397,"bandit30","bandit70",1,0.37935,0,0,0.7,0.71304,0.7,0.71304,-0.013043,0,-1,97
"voc085c",290,"bandits9010","bandit10","bandit90",0,2,1,0.38299,"bandit90","bandit10",2,0.5125,1,10,0.90141,0.4907,0.90141,0.4907,0.4107,1,1,97
"voc085c",291,"bandits5050","bandit50b","bandit50a",1,2,1,0.42911,"bandit50b","bandit50a",1,0.47592,0,0,0.5,0.6,0.5,0.6,-0.1,0,-1,97
"voc085c",292,"bandits9010","bandit10","bandit90",6,2,1,0.71168,"bandit90","bandit10",2,1.0492,1,10,0.90278,1.0914,0.90278,1.0914,-0.18861,0,-1,98
"voc085c",293,"bandits5050","bandit50a","bandit50b",4,2,1,0.64356,"bandit50b","bandit50a",2,0.36763,1,10,0.5,0.89545,0.5,0.89545,-0.39545,0,-1,98
"voc085c",294,"bandits7030","bandit70","bandit30",5,2,1,0.64681,"bandit30","bandit70",2,0.35275,0,0,0.7,1.0096,0.7,1.0096,-0.30957,0,-1,98
"voc085c",295,"bandits9010","bandit10","bandit90",1,2,1,0.64894,"bandit90","bandit10",2,0.44541,1,10,0.90411,0.59205,0.90411,0.59205,0.31205,1,1,99
"voc085c",296,"bandits7030","bandit30","bandit70",3,2,1,0.8102,"bandit70","bandit30",2,0.54617,1,10,0.7,0.80625,0.7,0.80625,-0.10625,0,-1,99
"voc085c",297,"bandits5050","bandit50a","bandit50b",1,2,1,0.8329,"bandit50b","bandit50a",2,1.3242,0,0,0.5,0.6,0.5,0.6,-0.1,0,-1,99
"voc085c",298,"bandits7030","bandit70","bandit30",4,2,1,3.993,"bandit30","bandit70",2,3.8169,0,0,0.70588,0.90919,0.70588,0.90919,-0.20331,0,-1,100
"voc085c",299,"bandits5050","bandit50b","bandit50a",6,2,1,1.713,"bandit50a","bandit50b",2,8.8684,1,10,0.5,1.0956,0.5,1.0956,-0.59561,0,-1,100
"voc085c",300,"bandits9010","bandit10","bandit90",6,2,1,2.1044,"bandit90","bandit10",2,0.68527,1,10,0.90541,1.0927,0.90541,1.0927,-0.1873,0,-1,100
"voc085c",301,"bandits9010","bandit90","bandit10",2,2,1,2.2787,"bandit90","bandit10",1,0.62138,0,0,0.90667,0.69333,0.90667,0.69333,0.21333,1,1,101
"voc085c",302,"bandits7030","bandit70","bandit30",0,2,1,0.68394,"bandit70","bandit30",1,0.63731,1,10,0.70588,0.506,0.70588,0.506,0.19988,1,1,101
"voc085c",303,"bandits5050","bandit50a","bandit50b",0,2,1,1.0555,"bandit50b","bandit50a",2,0.49658,1,10,0.51163,0.50143,0.51163,0.50143,0.0102,1,1,101
"voc085c",304,"bandits5050","bandit50b","bandit50a",3,2,1,0.53025,"bandit50b","bandit50a",1,0.43174,0,0,0.51163,0.80581,0.51163,0.80581,-0.29419,0,-1,102
"voc085c",305,"bandits7030","bandit30","bandit70",6,2,1,0.39596,"bandit70","bandit30",2,0.96037,1,10,0.71154,1.1088,0.71154,1.1088,-0.39729,0,-1,102
"voc085c",306,"bandits9010","bandit10","bandit90",0,2,1,0.52057,"bandit90","bandit10",2,0.39425,1,10,0.89474,0.48737,0.89474,0.48737,0.40737,1,1,102
"voc085c",307,"bandits7030","bandit70","bandit30",1,2,1,0.51695,"bandit70","bandit30",1,0.24436,1,10,0.71698,0.61155,0.71698,0.61155,0.10543,1,1,103
